playerId,nameFull,position,collegeId,college,ageAtDraft
19780140,Bobby Jackson,DB,32306,Florida State,21.369863013698627
19780142,Gregg Robinson,DE,3755,Dartmouth (NH),21.723287671232878
19780144,Leotis Harris,OG,72701,Arkansas,22.86027397260274
19780145,Eric Smith,OT,39406,Southern Miss,22.34246575342466
19780146,Glenn Starks,WR,78363,Texas A&M-Kingsville,24.32054794520548
19780147,Randy Pass,OG,30332,Georgia Tech,23.03013698630137
19780148,Elliott Walker,RB,15260,Pittsburgh,21.65479452054794
19780153,Tony Ardizzone,C,60208,Northwestern,21.38082191780822
19780158,Mekeli Ieremia,DT,84602,BYU,24.17808219178082
19780159,Tony Green,RB,32611,Florida,21.610958904109587
19780160,Randy Reutershan,WR,15260,Pittsburgh,22.854794520547944
19780161,Ben Garry,RB,39406,Southern Miss,22.235616438356168
19780163,Doug Betters,DE,89557,Nevada,21.904109589041095
19780164,Mike Levenseller,WR,99164,Washington State,22.20821917808219
19780165,Jesse Thompson,WR,94720,California,22.153424657534245
19780167,Alfred Jackson,WR,78712,Texas,22.76164383561644
19780168,Ricky Odom,DB,90089,USC,21.63835616438357
19780170,Jim Earley,RB,48824,Michigan State,22.28767123287671
19780173,John Harris,DB,85287,Arizona State,21.898630136986302
19780174,Dan Doornink,RB,99164,Washington State,22.263013698630136
19780175,Fred Quillan,C,97403,Oregon,22.276712328767122
19780178,Karl Baldischwiler,OT,73019,Oklahoma,22.298630136986297
19780179,James Wright,TE,76109,Texas Christian,21.67945205479452
19780184,Bill Kellar,WR,94305,Stanford,22.24383561643836
19780189,Reggie Doss,DE,23669,Hampton (VA),21.413698630136988
19780192,Earl Inmon,LB,32114,Bethune-Cookman (FL),24.13150684931507
19780194,Tom Randall,OG,50011,Iowa State,21.75890410958904
19780197,Derrick Gaffney,WR,32611,Florida,22.95616438356164
19780198,Terry Falcon,OG,59812,Montana,22.687671232876717
19780206,Jim Breech,K,94720,California,22.071232876712326
19780207,Mark Nichols,LB,80523,Colorado State,21.536986301369858
19780211,Bill Miller,OT,61455,Western Illinois,23.339726027397266
19780215,Mosi Tatupu,RB,90089,USC,23.03287671232877
19780216,David Williams,DB,38238,Tennessee-Martin,22.180821917808217
19780221,Franky Smith,OT,35762,Alabama A&M,22.306849315068494
19780223,Willie Taylor,WR,15260,Pittsburgh,22.410958904109588
19780224,Larry Brown,OT,33124,Miami (FL),22.926027397260274
19780225,Reggie Grant,DB,97403,Oregon,22.67945205479452
19780237,Henry Bradley,DT,39096,Alcorn State (MS),24.67397260273973
19780238,Ron Shumon,LB,67201,Wichita State,22.405479452054795
19780244,Mike Martin,LB,40506,Kentucky,23.427397260273967
19780247,Bruce Hardy,TE,85287,Arizona State,21.931506849315067
19780252,Aaron Brown,LB,43210,Ohio State,22.315068493150687
19780255,Will Grant,C,40506,Kentucky,24.16986301369863
19780257,Ricky Patton,RB,39217,Jackson State (MS),24.087671232876712
19780265,Randy Gill,LB,95192,San Jose State,21.76438356164384
19780266,Steve Young,TE,27106,Wake Forest,22.104109589041094
19780267,Tom DePaso,LB,16802,Penn State,22.2054794520548
19780268,Doug Becker,LB,46556,Notre Dame,21.86027397260274
19780274,Mark Dennard,C,77843,Texas A&M,22.51232876712329
19780276,Tom Jurich,K,86011,Northern Arizona,21.78082191780822
19780277,Vince Kinney,WR,20740,Maryland,22.13972602739726
19780279,Nat Terry,DB,32306,Florida State,21.797260273972608
19780282,Jerry Blanton,LB,40506,Kentucky,21.378082191780823
19780284,Terry Jones,DT,35487,Alabama,21.493150684931507
19780288,Billy Campfield,RB,66045,Kansas,21.71232876712329
19780290,Larry Gillard,DT,39762,Mississippi State,22.827397260273965
19780294,Mark Donahue,OG,48109,Michigan,22.271232876712325
19780296,Charlie Williams,LB,32611,Florida,22.24109589041096
19780297,Mike Williams,DB,77843,Texas A&M,22.4027397260274
19780304,Bob Glazebrook,DB,93740,Frenso State (CA),22.16712328767123
