playId,teamId,playerId,fumForcedPosition,fumForcedTurnover,fumForcedNull
8055099,5110,20060124,DL,1,0
9000098,200,20050059,DT,0,0
9000313,3800,20080050,DE,1,0
9000331,3800,20120177,CB/S,1,0
9000359,1200,20100576,S,0,0
9000364,3800,20030213,S,1,0
9000375,3800,20090092,CB,1,0
9000603,1540,20130005,DE,1,1
9000651,3800,20000013,LB,1,0
9000734,2120,20110011,DE,1,0
9000801,2120,20110011,DE,1,0
9000878,2200,20030138,OLB,0,0
9001067,3800,20080050,DE,1,0
9001087,4400,20120073,SS,0,0
9001090,3800,20130045,LB,0,0
9001209,4600,20080092,DE,0,0
9001213,3800,20090071,DE/LB,1,0
9001234,3800,20000013,LB,0,0
9001273,3800,20000013,LB,1,0
9001323,4600,20100133,S,0,0
9001421,4500,20100091,LB,1,0
9001537,2510,20120444,S,1,0
9001577,3800,20000013,LB,0,0
9001702,200,20130060,CB,1,0
9002050,200,20120164,DE,1,0
9002303,3200,20100027,DB,0,0
9002449,3300,20070242,LB,1,0
9002508,3430,20120187,S,0,0
9002578,3430,20110030,DL,1,0
9002772,4600,20100111,CB,1,0
9002974,200,20090055,S,1,0
9003033,200,20130022,CB,0,0
9003057,4900,20070052,RB,1,0
9003155,200,20030056,DE,1,0
9003183,5110,20110016,LB,1,0
9003184,200,20100249,CB,1,0
9003271,200,20070109,LB,1,0
9003365,325,20030091,TE,0,0
9003381,325,20070737,S,1,0
9003529,750,20120009,LB,1,0
9003807,920,20100054,DE,1,0
9003958,1050,20110954,LB,1,0
9004038,325,20060126,OLB,0,0
9004055,325,20060126,OLB,0,0
9004100,1800,20120028,LB,1,0
9004105,1800,20130159,CB,0,0
9004228,2120,20040135,DE,0,0
9004364,325,20110027,CB,0,0
9004366,325,20070737,S,1,0
9004396,325,20130056,ILB,0,0
9004477,3000,20130025,CB,0,0
9004921,3900,20100052,LB,0,0
9005203,200,20100249,CB,1,0
9005207,200,20090055,S,1,0
9005253,325,20050132,DE,1,0
9005270,325,20070737,S,0,0
9005381,325,20050132,DE,0,0
9005392,325,20070168,CB,0,0
9005542,750,20030537,S,1,0
9005677,920,20100054,DE,1,0
9005846,610,20120105,OLB,1,0
9005986,610,20100031,DE,0,0
9006073,2310,20130252,CB,1,0
9006118,2700,20100523,WR,0,0
9006261,2700,20100028,DE,0,0
9006345,610,20100031,DE,0,0
9006473,3200,20080598,CB,1,0
9006530,610,20130046,MLB,1,0
9006545,3200,20080598,CB,1,0
9006717,610,20060134,DT,1,0
9006942,200,20030120,CB,0,0
9006969,750,20110567,DE,1,0
9007021,810,20100144,CB,1,0
9007026,750,20100418,S,1,0
9007051,750,20110567,DE,0,0
9007169,750,20130044,DT,1,0
9007564,750,20130744,CB,1,0
9007783,750,20080540,LB,0,0
9007787,3900,20110193,LB,0,0
9007866,3900,20110162,LB,0,0
9007958,4600,20110173,CB,0,0
9007976,750,20070083,DE,1,0
9008032,4600,20100014,FS,1,0
9008218,750,20090047,S,1,0
9008337,750,20090047,S,0,0
9008340,750,20100175,DE,1,0
9008589,810,20110254,DE,0,0
9008609,325,20040039,ILB,0,0
9008703,810,20060062,CB,0,0
9008779,810,20060062,CB,1,0
9008941,1050,20130217,DL,1,0
9009333,1800,20060572,CB,0,0
9009343,810,20020002,DE,0,0
9009349,1800,20060724,CB,1,0
9009495,3000,20040126,DE,1,0
9009536,810,20100075,S,1,0
9009577,3000,20080152,DT,1,0
9009599,810,20060631,LB,1,0
9009617,3300,20090014,S,1,0
9009641,810,20030035,CB,0,0
9009841,3410,20070221,CB,0,0
9009902,4400,20030109,OLB,0,0
9009929,810,20120019,DE,1,0
9010132,325,20080660,ILB,0,0
9010320,920,20120454,LB,1,0
9010392,920,20090070,DE,0,0
9010469,1800,20090218,LB,1,0
9010477,1800,20090026,LB,1,0
9010482,1800,20090026,LB,1,0
9010521,1800,20090468,LB,0,0
9010575,920,20090070,DE,1,0
9010633,2200,20110449,ILB,1,0
9010921,920,20100438,LB,1,0
9010930,3000,20080501,LB,1,0
9011126,920,20100054,DE,1,0
9011206,920,20120167,S,0,0
9011218,3200,20100027,DB,1,0
9011221,920,20080626,DE,0,0
9011422,920,20050006,CB,1,0
9011622,4400,20100079,ILB,1,0
9011742,2100,20110077,DT,1,0
9011888,2100,20110212,DT,1,0
9011958,325,20110165,OLB,1,0
9012118,610,20060022,OLB,0,0
9012200,610,20100031,DE,0,0
9012361,1050,20120205,DL,1,0
9012512,1050,20090090,DB,1,0
9012914,1540,20130132,DE,0,0
