playerId,nameFull,position,collegeId,college,heightInches,weight,ageAtDraft
20180155,Scott Quessenberry,C,90095,UCLA,75.0,288.0,23
20180256,Trey Quinn,WR,75205,Southern Methodist,72.0,202.0,22
20180020,Frank Ragnow,C,72701,Arkansas,77.0,317.0,21
20180080,Martinas Rankin,C,39762,Mississippi State,77.0,315.0,23
20180068,Justin Reid,S,94305,Stanford,73.0,195.0,21
20180419,Demario Richard,RB,85287,Arizona State,69.0,218.0,21
20180842,Stephen Roberts,DB,36849,Auburn,71.0,189.0,22
20180482,Ja'Von Rolland-Jones,OLB,72401,Arkansas State,74.0,253.0,23
20180010,Josh Rosen,QB,90095,UCLA,76.0,218.0,21
20180685,Bunmi Rotimi,DE,23529,Old Dominion,76.0,275.0,22
20180076,Mason Rudolph,QB,74078,Oklahoma State,77.0,230.0,22
20180178,Christian Sam,LB,85287,Arizona State,74.0,237.0,21
20180165,Jaylen Samuels,TE,27607,NC State,77.0,225.0,21
20180779,Tegray Scales,LB,47405,Indiana,72.0,227.0,21
20180236,Bo Scarbrough,RB,35487,Alabama,74.0,235.0,21
20180137,Dalton Schultz,TE,94305,Stanford,78.0,242.0,21
20180172,JK Scott,P,35487,Alabama,78.0,205.0,21
20180877,Coleman Shelton,C,98195,Washington,76.0,299.0,22
20180584,Nic Shimonek,QB,79415,Texas Tech,75.0,225.0,23
20180234,Andre Smith,LB,27599,North Carolina,72.0,240.0,21
20180037,Braden Smith,OG,36849,Auburn,78.0,303.0,22
20180008,Roquan Smith,OLB,30602,Georgia,73.0,225.0,21
20180123,Durham Smythe,TE,46556,Notre Dame,77.0,257.0,22
20180128,Kentavius Street,DE,27607,NC State,74.0,280.0,21
20180130,Josh Sweat,OLB,32306,Florida State,77.0,250.0,21
20180166,Wyatt Teller,OG,24061,Virginia Tech,77.0,315.0,23
20180067,Chad Thomas,DE,33124,Miami (FL),77.0,265.0,22
20180101,Ian Thomas,TE,47405,Indiana,77.0,248.0,21
20180211,Jordan Thomas,TE,39762,Mississippi State,77.0,295.0,21
20180860,Matthew Thomas,LB,32306,Florida State,75.0,232.0,22
20180611,Roc Thomas,RB,36265,Jacksonville State (AL),71.0,193.0,21
20180173,Johnny Townsend,P,32611,Florida,73.0,202.0,23
20180585,Shane Tripucka,P,77843,Texas A&M,75.0,210.0,23
20180052,Kemoko Turay,OLB,7102,Rutgers,78.0,220.0,22
20180426,Leka Uhatafe,OG,84112,Utah,77.0,315.0,23
20180216,Azeem Victor,LB,98195,Washington,75.0,231.0,22
20180665,Akrum Wadley,RB,52242,Iowa,70.0,194.0,23
20180082,Trey Walker,S,70504,Louisiana Lafayette,74.0,200.0,23
20180112,Mark Walton,RB,33124,Miami (FL),70.0,195.0,21
20180833,Chris Warren,RB,78712,Texas,74.0,246.0,21
20180124,Armani Watts,S,77843,Texas A&M,71.0,205.0,22
20180900,Damon Webb,DB,43210,Ohio State,71.0,198.0,22
20180508,David Wells,TE,92115,San Diego State,78.0,256.0,23
20180119,Kyzir White,S,26506,West Virginia,74.0,216.0,22
20180171,Mike White,QB,42101,Western Kentucky,76.0,225.0,23
20180117,Jordan Whitehead,S,15260,Pittsburgh,71.0,195.0,21
20180736,JoJo Wicker,DT,85287,Arizona State,74.0,296.0,21
20180169,Jordan Wilkins,RB,38677,Mississippi,73.0,217.0,23
20180438,Anthony Winbush,LB,47306,Ball State (IN),73.0,240.0,23
20180683,Ryan Winslow,P,15260,Pittsburgh,77.0,217.0,24
20180249,Logan Woodside,QB,43606,Toledo,74.0,201.0,23
20180483,Chris Worley,LB,43210,Ohio State,73.0,238.0,22
20180023,Isaiah Wynn,OT,30602,Georgia,74.0,302.0,21
20180122,Kenny Young,LB,90095,UCLA,73.0,235.0,23
20180205,Trevon Young,DE,40292,Louisville,76.0,258.0,23
20190027,Johnathan Abram,S,39762,Mississippi State,72.0,205.0,22
20190400,Paul Adams,OT,65211,Missouri,78.0,315.0,23
20190060,Nasir Adderley,S,19716,Delaware,72.0,200.0,21
20190404,Azeez Al-Shaair,LB,33431,Florida Atlantic,74.0,231.0,21
20190401,Otaro Alaka,LB,77843,Texas A&M,75.0,240.0,22
